address,open_events,rewards_random2
0x0058638e4fc0be972ea37e6418c4100ac4d126b7,1,[375]
0x006254729ad977042210071b2e118c82739a191b,29,"[500, 125]"
0x006c4fd19b757aff1725dbdd734317a55d4268ad,1,[180]
0x0095695460b22f50bb4eaf7aea35b99deee97f10,2,"[300, 180]"
0x00e7b49dbc4c2a64fe679ed0d00533f4d8d9895e,1,[300]
0x026eb6b8bb5a66fb9ac2a0dd69db199dc2f0a579,2,"[180, 180]"
0x02d62fc180163f3445564b31b1fc85ecd6c3cd1b,3,"[180, 300]"
0x0301c4e5091a8758a2be546144fccc9c9ddd0d36,1,[300]
0x03525efe64b8d80600f2f63db012a3224be0c831,1,[180]
0x038aaa31d75ef5dc0783f9fde5422a7b928a3111,1,[375]
0x044e427f262c3a3329afe4ed86b8f5b3f0a9484f,8,"[500, 300]"
0x05518813709d67d802cdc4f56ef42964b5e42dbb,3,"[375, 500]"
0x0574f40bd452db95b5b402b329687e60679042e0,1,[125]
0x05b75b1a514b49dbbbb8ef180fafaf2bd96a511c,5,"[500, 500]"
0x0661a732b3b3e64145dbdd5cc418cec98adba490,1,[500]
0x072586a772d7d45a8454436f146af669c8d2c287,1,[180]
0x0831753090b8aee0d790166cbc5a4368e2c06363,1,[300]
0x08f3f2665c7df17a99fc7c90e79808d533848b8a,1,[180]
0x093380eeb38e7011bf53e164b0a6cdc3410bbae4,5,"[250, 125]"
0x0b061f7c83557032dbc4279435da369d7bceb4fa,2,"[250, 125]"
0x0cdc36be1dca2f0eea6fed9ff73e14a762a99009,1,[375]
0x0fe6d76e51ed2b876d3f81c2fa0c8e49c171b515,1,[125]
0x14378313e38e53667bd7ee1765ea01709598212c,1,[180]
0x1443da045e7709952d0549ce37de8eec99ef6605,28,"[375, 180]"
0x1522c627472ce025df05d9630fa51779683ba698,2,"[300, 500]"
0x15474ae57d34eceeb0c906a67dabb449e77640e6,1,[180]
0x16356f0dc7f6c8423e5daa899cfde7162f58159f,1,[250]
0x16dafbd15b1118c5e774f4d5862efc846d12aab7,1,[180]
0x1746258666dc4284d5a8907319b83e500262ff87,1,[250]
0x1793b20dd43b24ade33eeeea8bc588624fe9cc85,2,"[250, 375]"
0x186d89f5c39ca240b9177004a1643f69771bde3b,1,[125]
0x1916db2419f06a5e351df2e7eb376caa9c424c7f,1,[300]
0x19904ea07318aad263f48df9a96b15e3c64129e1,1,[300]
0x19bd7171dd672cec1da775b9b4b1a572e7c6f0fb,1,[250]
0x19c4401ed064dfec75141f9117940ef68a889e20,1,[300]
0x1b2d134fc716561afbf8ccef56568d18c28a34aa,4,"[375, 300]"
0x1b9826b1fe5397c0cb5455fbb8d7aa2d4e4b282e,1,[125]
0x1c0bc7e6b77869579df15811f88c60605c9c8ffe,5,"[180, 180]"
0x1c15cabcbcb7ab34dd84a1ee637b666bdcc22ca6,1,[180]
0x1c2e55ceb8c1095953d36400f054eb682d8d1337,1,[300]
0x1c8a0436c05e08d24adddfe7cb9e14e2ae7aa6fc,1,[300]
0x1dd8a6080108ca42df8929c225ad181b88663e5f,2,"[125, 375]"
0x1edfb240b93baa8665021c9df460136e43a912f5,1,[250]
0x20bf7be7e7ebde42b8865ca7834b9ae57e4b1ee5,4,"[180, 375]"
0x2143c163a8a545376f51b49567365e9619d9de09,1,[125]
0x21eb6b7a61eb03e4e49d5361a6048c46d68a8e95,1,[300]
0x229046b46ae85f300b8f90060d72e209f0e1cbb6,1,[125]
0x251ff61a8b0587902c527143f42fdba479bfd867,2,"[250, 500]"
0x25bcaa146bf2a079adc7c77c684e161bfef7d9fa,1,[300]
0x26361cb20645513b8f7165d2b2c550d5632cb00e,5,"[300, 300]"
0x2736a3efa82a92c1fae2fd76166b4b75bf19241c,1,[125]
0x2756864478a63ff694da828e966abe2c75195456,2,"[125, 125]"
0x2763d38d91471734ed3ebce4d80344ee6f716530,1,[375]
0x291209581d2971c04cf4c68cc3a51e94b8540e83,1,[375]
0x2b4f23c2dc2e65690ee4d59314d7f9a1bd2aa48d,4,"[125, 500]"
0x2b8a39a376f40884b5b78da1339e63777bea2a17,12,"[125, 250]"
0x2bed7b739b2edb5f2bda8605155b1fb990a9f259,1,[125]
0x2ce577e7d32230452e9b6f2198b91708e56befaf,1,[300]
0x2cecf610640f9e922363ce51d63244dba09a2111,3,"[125, 180]"
0x2deae0ad4dcf0ea6c601197f78a1a2bd63db8fb7,3,"[250, 300]"
0x2e69496ad8a25f71da241b84a08929ec4813ee77,2,"[250, 250]"
0x2f50a610740aceaa965b7b36332c7ea2cf368543,1,[180]
0x2faedeada50764e98f204048c1af285101b60c6a,2,"[180, 180]"
0x3005fcfb7da051ad4124834376e621196fdea75d,1,[500]
0x30a3ff94d3419d144f328572c621b46a2f79d314,4,"[300, 300]"
0x32f6f912133d4c36879c79a1415f2e1fb39432ee,1,[125]
