address,eventIndex,amount,newTotal,txHash,logIndex
0x0058638e4fc0be972ea37e6418c4100ac4d126b7,0,1500,1500,0x3fbf38abbc01945cca210d0098dbae7657646b208f89eb785dee576335b20550,3
0x006254729ad977042210071b2e118c82739a191b,0,1000,29450,0xa9b4928ab846ac10208e62d0edcc9e4cab46f7f3a031dcfc7cbfea891eb0d55b,3
0x006254729ad977042210071b2e118c82739a191b,1,750,28450,0xbcaf2a45bbf2df45dab42d05ec117a4c09973fc3874f9120b6bdadf917bff1f8,3
0x006254729ad977042210071b2e118c82739a191b,2,1200,27700,0x2431100e4a7a2d166e50ad09d572a0bad5a3c89a9a3d3b1c7839d7e8169e2cac,3
0x006254729ad977042210071b2e118c82739a191b,3,1200,26500,0x1c60b83a98bca3221b7292f101351a534fc85fba4bdba4c4a5fdb306b769bf7c,3
0x006254729ad977042210071b2e118c82739a191b,4,2000,25300,0x538a7227849a2b5e785afd46b7ea85bce2d5ed4349035be1b93f53fc630b9804,3
0x006254729ad977042210071b2e118c82739a191b,5,500,23300,0x9d2272eff4ef0b8bcc0a281d95f89153b9ec8490e2dc312aa04c23c224b6266a,3
0x006254729ad977042210071b2e118c82739a191b,6,500,22800,0x43bcd45f2e33a9c0255bb09f353fc16c0df1fa9b3501e59314e70311a9e50015,3
0x006254729ad977042210071b2e118c82739a191b,7,750,22300,0xf00fbcef2bd682eddb68c60d0c6e91d5c1e79ba97f971491fe0bb7dc55d7c7ef,3
0x006254729ad977042210071b2e118c82739a191b,8,2000,21550,0xbf9d1c4b838bb2ada8c63f02dfe2c042b4971870325122fa60bef23676a44a84,3
0x006254729ad977042210071b2e118c82739a191b,9,1200,19550,0x8c0bd3db4b69a7c2544d549e7a5faee72fdb522ab0fab64b9d8f77c5286206df,3
0x006254729ad977042210071b2e118c82739a191b,10,500,18350,0x1ff4d8232c08c56a27cfeb3f22159830aabfd500f2448daa01eccf9241faf8a3,3
0x006254729ad977042210071b2e118c82739a191b,11,1000,17850,0x5afa066d9875fb7f431cb83d066c15905844126302f9276b41bd5631a6ee5d83,3
0x006254729ad977042210071b2e118c82739a191b,12,500,16850,0x4229f0b8b41385936549ebbda31971ea612429e91c0aa52875815e529f7f0352,3
0x006254729ad977042210071b2e118c82739a191b,13,750,16350,0xab1ba7e591408451d17241dba65b0f059ac4e7c7eea48be27a9b2d96e15186b9,3
0x006254729ad977042210071b2e118c82739a191b,14,1500,15600,0x9f80e926b67f05b81645d6e3da34202159e817ed57834dac277fec8dfbd290ba,3
0x006254729ad977042210071b2e118c82739a191b,15,2000,14100,0x1ec7b03169ae5057c3ea91aabd05f0cd296c193242d2831a1a3894ec4bd05d5d,3
0x006254729ad977042210071b2e118c82739a191b,16,500,12100,0xf522bcb53f18700e2751e2726bb6789e554516ba1c77755cf1f44303a1c28ce2,3
0x006254729ad977042210071b2e118c82739a191b,17,1500,11600,0x9def5382e44acef4b71237f15b9196aeb69a2830943e62e036beed0683dda938,3
0x006254729ad977042210071b2e118c82739a191b,18,1200,10100,0xcd69602885c6cd236344f18694ded77d51e15567520ed7b72bd54d905b2516a8,3
0x006254729ad977042210071b2e118c82739a191b,19,1500,8900,0x58a09408d3bdd347418868135d577ff8750a9063357f9c30a901cc0bff307f2e,3
0x006254729ad977042210071b2e118c82739a191b,20,500,7400,0xcb71bf1f47fb52f035c87480ee6264ddbda77430f1ab004e2bbc618ad5910c25,3
0x006254729ad977042210071b2e118c82739a191b,21,500,6900,0xd461ff9393aec91ad0abdd5791ebd1d40e24d1e806a98b46437e21e279840a97,3
